,county,date_number,Population,region,pop_dens,tranlevel
19121,Clay,11,11238.0,Western,51.6,Low
19140,Guilford,11,545484.0,Northern,838.0,Moderate
19141,Halifax,11,47859.0,Coastal,67.2,Moderate
19101,Alexander,11,36172.0,Northern,140.2,Moderate
19169,Pasquotank,11,40966.0,Coastal,178.8,Moderate
19129,Davie,11,43127.0,Northern,162.0,Moderate
19116,Caswell,11,22400.0,Eastern,53.5,Moderate
19160,Mitchell,11,14783.0,Western,67.4,Error
19103,Anson,11,22028.0,Central,41.5,Moderate
19113,Caldwell,11,81319.0,Northern,170.9,Moderate
19114,Camden,11,10537.0,Coastal,43.1,Low
19159,Mecklenburg,11,1128426.0,Central,2130.4,Moderate
19134,Franklin,11,70655.0,Eastern,139.4,Error
19161,Montgomery,11,25485.0,Eastern,52.4,Moderate
19106,Beaufort,11,44150.0,Coastal,53.6,Moderate
19195,Wayne,11,115895.0,Coastal,211.8,Substantial
19172,Person,11,39048.0,Eastern,99.7,Moderate
19174,Polk,11,19461.0,Western,81.3,Moderate
19191,Wake,11,1154170.0,Eastern,1353.3,Moderate
19153,Lenoir,11,54323.0,Coastal,138.1,Moderate
19170,Pender,11,62250.0,Coastal,69.1,Moderate
19175,Randolph,11,143325.0,Northern,184.3,Moderate
19147,Hyde,11,4595.0,Coastal,7.5,Error
19196,Wilkes,11,65151.0,Northern,87.5,Moderate
19126,Currituck,11,29385.0,Coastal,107.3,Moderate
19176,Richmond,11,43006.0,Eastern,90.7,Substantial
19188,Tyrrell,11,3315.0,Coastal,8.3,Low
19199,Yancey,11,18320.0,Western,59.1,Error
19148,Iredell,11,192986.0,Northern,325.0,Moderate
19146,Hoke,11,53783.0,Eastern,133.5,Substantial
19171,Perquimans,11,13049.0,Coastal,52.6,Error
19122,Cleveland,11,99332.0,Western,214.4,Moderate
19133,Forsyth,11,387703.0,Northern,938.1,Moderate
19152,Lee,11,64360.0,Eastern,248.1,Moderate
19189,Union,11,244960.0,Central,376.6,Moderate
19105,Avery,11,17347.0,Western,72.0,Moderate
19115,Carteret,11,69039.0,Coastal,133.3,Low
19274,Polk,12,19461.0,Western,81.3,Moderate
19239,Greene,12,19978.0,Coastal,76.7,Substantial
19295,Wayne,12,115895.0,Coastal,211.8,Substantial
19236,Gates,12,10324.0,Coastal,30.8,Low
19244,Henderson,12,117429.0,Western,311.8,Moderate
19220,Chowan,12,13646.0,Coastal,79.4,Substantial
19234,Franklin,12,70655.0,Eastern,139.4,Error
19214,Camden,12,10537.0,Coastal,43.1,Low
19219,Cherokee,12,28738.0,Western,63.2,Substantial
19225,Cumberland,12,341793.0,Eastern,512.9,High
19222,Cleveland,12,99332.0,Western,214.4,Substantial
19267,Orange,12,148331.0,Eastern,374.0,Moderate
19286,Swain,12,14046.0,Western,26.8,Moderate
19215,Carteret,12,69039.0,Coastal,133.3,Low
19283,Stanly,12,62143.0,Central,158.2,Moderate
19211,Burke,12,88398.0,Western,173.0,Moderate
19279,Rowan,12,148565.0,Northern,287.1,Substantial
19205,Avery,12,17347.0,Western,72.0,Moderate
19298,Yadkin,12,36925.0,Northern,111.1,Moderate
19296,Wilkes,12,65151.0,Northern,87.5,Moderate
19209,Brunswick,12,144821.0,Coastal,160.8,Substantial
19237,Graham,12,7935.0,Western,27.5,High
19229,Davie,12,43127.0,Northern,162.0,Substantial
19216,Caswell,12,22400.0,Eastern,53.5,Moderate
19270,Pender,12,62250.0,Coastal,69.1,Substantial
19221,Clay,12,11238.0,Western,51.6,Moderate
19260,Mitchell,12,14783.0,Western,67.4,Error
19294,Watauga,12,54804.0,Northern,173.1,Low
19282,Scotland,12,33662.0,Eastern,107.1,Substantial
19289,Union,12,244960.0,Central,376.6,Substantial
19224,Craven,12,102568.0,Coastal,142.5,Moderate
19243,Haywood,12,62831.0,Western,112.2,Moderate
19271,Perquimans,12,13049.0,Coastal,52.6,Error
19248,Iredell,12,192986.0,Northern,325.0,Substantial
19285,Surry,12,70573.0,Northern,134.0,Substantial
19226,Currituck,12,29385.0,Coastal,107.3,Moderate
19238,Granville,12,60720.0,Eastern,114.6,Moderate
19247,Hyde,12,4595.0,Coastal,7.5,Error
19254,Lincoln,12,88742.0,Central,293.4,Substantial
19265,Northampton,12,16953.0,Eastern,32.6,Moderate
19280,Rutherford,12,63870.0,Western,114.0,Moderate
19204,Ashe,12,26506.0,Northern,62.3,Moderate
19266,Onslow,12,207928.0,Coastal,268.4,Substantial
19256,Madison,12,21146.0,Western,47.1,Moderate
19218,Chatham,12,77095.0,Eastern,111.9,Moderate
19231,Durham,12,331347.0,Eastern,1133.7,Moderate
19297,Wilson,12,79078.0,Coastal,214.3,Substantial
19251,Jones,12,9076.0,Coastal,19.5,Moderate
19273,Pitt,12,173536.0,Coastal,261.0,Substantial
19240,Guilford,12,545484.0,Northern,838.0,Moderate
19278,Rockingham,12,90457.0,Northern,161.0,Substantial
19293,Washington,12,10708.0,Coastal,31.8,Moderate
19206,Beaufort,12,44150.0,Coastal,53.6,Moderate
19208,Bladen,12,29171.0,Coastal,33.8,High
19281,Sampson,12,58371.0,Coastal,62.4,Substantial
19210,Buncombe,12,271638.0,Western,410.4,Moderate
19252,Lee,12,64360.0,Eastern,248.1,Substantial
19250,Johnston,12,224833.0,Coastal,272.7,High
19275,Randolph,12,143325.0,Northern,184.3,Moderate
19242,Harnett,12,134986.0,Eastern,224.5,Substantial
19291,Wake,12,1154170.0,Eastern,1353.3,Moderate
19223,Columbus,12,49795.0,Coastal,54.0,Substantial
19233,Forsyth,12,387703.0,Northern,938.1,Moderate
19288,Tyrrell,12,3315.0,Coastal,8.3,Moderate
19263,Nash,12,96101.0,Coastal,175.7,Moderate
19245,Hertford,12,20374.0,Coastal,61.0,Low
19241,Halifax,12,47859.0,Coastal,67.2,Moderate
19201,Alexander,12,36172.0,Northern,140.2,Moderate
19262,Moore,12,102966.0,Eastern,142.9,Moderate
19269,Pasquotank,12,40966.0,Coastal,178.8,Moderate
19203,Anson,12,22028.0,Central,41.5,Moderate
19249,Jackson,12,41919.0,Western,87.8,Low
19253,Lenoir,12,54323.0,Coastal,138.1,Moderate
19284,Stokes,12,44422.0,Northern,99.1,Moderate
19261,Montgomery,12,25485.0,Eastern,52.4,Moderate
19212,Cabarrus,12,232873.0,Central,625.1,Substantial
19207,Bertie,12,17302.0,Coastal,25.7,Moderate
19227,Dare,12,37817.0,Coastal,96.3,Substantial
19259,Mecklenburg,12,1128426.0,Central,2130.4,Substantial
19230,Duplin,12,48249.0,Coastal,59.8,Substantial
19255,Macon,12,37041.0,Western,71.8,Moderate
19213,Caldwell,12,81319.0,Northern,170.9,Moderate
19217,Catawba,12,162841.0,Northern,400.2,Moderate
19200,Alamance,12,175029.0,Northern,404.8,Moderate
19272,Person,12,39048.0,Eastern,99.7,Substantial
19235,Gaston,12,233387.0,Central,640.7,Moderate
19287,Transylvania,12,32825.0,Western,87.2,Moderate
19202,Alleghany,12,11057.0,Northern,46.4,Moderate
19228,Davidson,12,171752.0,Northern,305.4,Moderate
19290,Vance,12,41665.0,Eastern,168.7,Moderate
19268,Pamlico,12,12215.0,Coastal,36.5,Low
19258,McDowell,12,44151.0,Western,101.3,Moderate
19246,Hoke,12,53783.0,Eastern,133.5,Substantial
19277,Robeson,12,115899.0,Coastal,123.0,High
19257,Martin,12,21503.0,Coastal,48.3,Moderate
19232,Edgecombe,12,48604.0,Coastal,96.7,Moderate
19264,New Hanover,12,230423.0,Coastal,1174.0,Moderate
19276,Richmond,12,43006.0,Eastern,90.7,High
19299,Yancey,12,18320.0,Western,59.1,Error
19292,Warren,12,18621.0,Eastern,43.4,Moderate
19310,Buncombe,13,271638.0,Western,410.4,Moderate
19307,Bertie,13,17302.0,Coastal,25.7,Moderate
19338,Granville,13,60720.0,Eastern,114.6,Moderate
19381,Sampson,13,58371.0,Coastal,62.4,Moderate
19326,Currituck,13,29385.0,Coastal,107.3,Moderate
19345,Hertford,13,20374.0,Coastal,61.0,Low
19308,Bladen,13,29171.0,Coastal,33.8,Substantial
19359,Mecklenburg,13,1128426.0,Central,2130.4,Moderate
19306,Beaufort,13,44150.0,Coastal,53.6,Moderate
19300,Alamance,13,175029.0,Northern,404.8,Moderate
19354,Lincoln,13,88742.0,Central,293.4,Moderate
19350,Johnston,13,224833.0,Coastal,272.7,Substantial
19317,Catawba,13,162841.0,Northern,400.2,Moderate
19347,Hyde,13,4595.0,Coastal,7.5,Error
19302,Alleghany,13,11057.0,Northern,46.4,Moderate
19362,Moore,13,102966.0,Eastern,142.9,Moderate
19358,McDowell,13,44151.0,Western,101.3,Moderate
19336,Gates,13,10324.0,Coastal,30.8,Low
19335,Gaston,13,233387.0,Central,640.7,Moderate
19387,Transylvania,13,32825.0,Western,87.2,Moderate
19348,Iredell,13,192986.0,Northern,325.0,Moderate
19371,Perquimans,13,13049.0,Coastal,52.6,Low
19321,Clay,13,11238.0,Western,51.6,Moderate
19352,Lee,13,64360.0,Eastern,248.1,Moderate
19394,Watauga,13,54804.0,Northern,173.1,Low
19334,Franklin,13,70655.0,Eastern,139.4,Low
19324,Craven,13,102568.0,Coastal,142.5,Moderate
19360,Mitchell,13,14783.0,Western,67.4,Error
19391,Wake,13,1154170.0,Eastern,1353.3,Moderate
19390,Vance,13,41665.0,Eastern,168.7,Low
19303,Anson,13,22028.0,Central,41.5,Moderate
19343,Haywood,13,62831.0,Western,112.2,Moderate
19377,Robeson,13,115899.0,Coastal,123.0,High
19382,Scotland,13,33662.0,Eastern,107.1,Substantial
19365,Northampton,13,16953.0,Eastern,32.6,Moderate
19353,Lenoir,13,54323.0,Coastal,138.1,Moderate
19304,Ashe,13,26506.0,Northern,62.3,Moderate
19385,Surry,13,70573.0,Northern,134.0,Substantial
19340,Guilford,13,545484.0,Northern,838.0,Moderate
19389,Union,13,244960.0,Central,376.6,Moderate
19366,Onslow,13,207928.0,Coastal,268.4,Substantial
19375,Randolph,13,143325.0,Northern,184.3,Moderate
19397,Wilson,13,79078.0,Coastal,214.3,Moderate
19361,Montgomery,13,25485.0,Eastern,52.4,Moderate
19314,Camden,13,10537.0,Coastal,43.1,Low
19333,Forsyth,13,387703.0,Northern,938.1,Moderate
19393,Washington,13,10708.0,Coastal,31.8,Low
19323,Columbus,13,49795.0,Coastal,54.0,Substantial
19327,Dare,13,37817.0,Coastal,96.3,Substantial
19367,Orange,13,148331.0,Eastern,374.0,Moderate
19322,Cleveland,13,99332.0,Western,214.4,Substantial
19319,Cherokee,13,28738.0,Western,63.2,Substantial
19357,Martin,13,21503.0,Coastal,48.3,Moderate
19386,Swain,13,14046.0,Western,26.8,Moderate
19342,Harnett,13,134986.0,Eastern,224.5,Substantial
19320,Chowan,13,13646.0,Coastal,79.4,Substantial
19305,Avery,13,17347.0,Western,72.0,Low
19332,Edgecombe,13,48604.0,Coastal,96.7,Moderate
19311,Burke,13,88398.0,Western,173.0,Moderate
19383,Stanly,13,62143.0,Central,158.2,Moderate
19379,Rowan,13,148565.0,Northern,287.1,Moderate
19396,Wilkes,13,65151.0,Northern,87.5,Moderate
19351,Jones,13,9076.0,Coastal,19.5,Moderate
19346,Hoke,13,53783.0,Eastern,133.5,Substantial
19325,Cumberland,13,341793.0,Eastern,512.9,Substantial
19309,Brunswick,13,144821.0,Coastal,160.8,Substantial
19398,Yadkin,13,36925.0,Northern,111.1,Moderate
19315,Carteret,13,69039.0,Coastal,133.3,Moderate
19392,Warren,13,18621.0,Eastern,43.4,Moderate
19378,Rockingham,13,90457.0,Northern,161.0,Substantial
19368,Pamlico,13,12215.0,Coastal,36.5,Moderate
19363,Nash,13,96101.0,Coastal,175.7,Moderate
19355,Macon,13,37041.0,Western,71.8,Moderate
19328,Davidson,13,171752.0,Northern,305.4,Moderate
19369,Pasquotank,13,40966.0,Coastal,178.8,Moderate
19373,Pitt,13,173536.0,Coastal,261.0,Substantial
19395,Wayne,13,115895.0,Coastal,211.8,Substantial
19341,Halifax,13,47859.0,Coastal,67.2,Moderate
19388,Tyrrell,13,3315.0,Coastal,8.3,Moderate
19316,Caswell,13,22400.0,Eastern,53.5,Low
19318,Chatham,13,77095.0,Eastern,111.9,Moderate
19313,Caldwell,13,81319.0,Northern,170.9,Low
19331,Durham,13,331347.0,Eastern,1133.7,Substantial
19370,Pender,13,62250.0,Coastal,69.1,Moderate
19356,Madison,13,21146.0,Western,47.1,Moderate
19330,Duplin,13,48249.0,Coastal,59.8,Substantial
19372,Person,13,39048.0,Eastern,99.7,Substantial
19337,Graham,13,7935.0,Western,27.5,High
19364,New Hanover,13,230423.0,Coastal,1174.0,Moderate
19344,Henderson,13,117429.0,Western,311.8,Moderate
19301,Alexander,13,36172.0,Northern,140.2,Moderate
19312,Cabarrus,13,232873.0,Central,625.1,Substantial
19329,Davie,13,43127.0,Northern,162.0,Moderate
19374,Polk,13,19461.0,Western,81.3,Moderate
19384,Stokes,13,44422.0,Northern,99.1,Moderate
19399,Yancey,13,18320.0,Western,59.1,Error
19339,Greene,13,19978.0,Coastal,76.7,Moderate
19376,Richmond,13,43006.0,Eastern,90.7,High
19380,Rutherford,13,63870.0,Western,114.0,Moderate
19349,Jackson,13,41919.0,Western,87.8,Low
19419,Cherokee,14,28738.0,Western,63.2,Substantial
19415,Carteret,14,69039.0,Coastal,133.3,Substantial
19471,Perquimans,14,13049.0,Coastal,52.6,Low
19461,Montgomery,14,25485.0,Eastern,52.4,Moderate
19454,Lincoln,14,88742.0,Central,293.4,Substantial
19409,Brunswick,14,144821.0,Coastal,160.8,Substantial
19472,Person,14,39048.0,Eastern,99.7,Substantial
19483,Stanly,14,62143.0,Central,158.2,Moderate
19482,Scotland,14,33662.0,Eastern,107.1,Substantial
19431,Durham,14,331347.0,Eastern,1133.7,Moderate
19427,Dare,14,37817.0,Coastal,96.3,High
19455,Macon,14,37041.0,Western,71.8,Moderate
19476,Richmond,14,43006.0,Eastern,90.7,High
19426,Currituck,14,29385.0,Coastal,107.3,Moderate
19479,Rowan,14,148565.0,Northern,287.1,Substantial
19420,Chowan,14,13646.0,Coastal,79.4,High
19425,Cumberland,14,341793.0,Eastern,512.9,High
19478,Rockingham,14,90457.0,Northern,161.0,Substantial
19475,Randolph,14,143325.0,Northern,184.3,Moderate
19446,Hoke,14,53783.0,Eastern,133.5,Substantial
19451,Jones,14,9076.0,Coastal,19.5,Substantial
19457,Martin,14,21503.0,Coastal,48.3,Moderate
19423,Columbus,14,49795.0,Coastal,54.0,Moderate
19468,Pamlico,14,12215.0,Coastal,36.5,Low
19499,Yancey,14,18320.0,Western,59.1,Low
19413,Caldwell,14,81319.0,Northern,170.9,Moderate
19412,Cabarrus,14,232873.0,Central,625.1,Substantial
19430,Duplin,14,48249.0,Coastal,59.8,Substantial
19417,Catawba,14,162841.0,Northern,400.2,Moderate
19400,Alamance,14,175029.0,Northern,404.8,Moderate
19459,Mecklenburg,14,1128426.0,Central,2130.4,Moderate
19462,Moore,14,102966.0,Eastern,142.9,Moderate
19435,Gaston,14,233387.0,Central,640.7,Moderate
19445,Hertford,14,20374.0,Coastal,61.0,Low
19477,Robeson,14,115899.0,Coastal,123.0,High
19458,McDowell,14,44151.0,Western,101.3,Moderate
19453,Lenoir,14,54323.0,Coastal,138.1,Moderate
19411,Burke,14,88398.0,Western,173.0,Moderate
19469,Pasquotank,14,40966.0,Coastal,178.8,Moderate
19449,Jackson,14,41919.0,Western,87.8,Moderate
19467,Orange,14,148331.0,Eastern,374.0,Moderate
19421,Clay,14,11238.0,Western,51.6,Moderate
19465,Northampton,14,16953.0,Eastern,32.6,Moderate
19424,Craven,14,102568.0,Coastal,142.5,Moderate
19448,Iredell,14,192986.0,Northern,325.0,Moderate
19452,Lee,14,64360.0,Eastern,248.1,Moderate
19460,Mitchell,14,14783.0,Western,67.4,Error
19443,Haywood,14,62831.0,Western,112.2,Moderate
19410,Buncombe,14,271638.0,Western,410.4,Moderate
19481,Sampson,14,58371.0,Coastal,62.4,Moderate
19466,Onslow,14,207928.0,Coastal,268.4,Substantial
19450,Johnston,14,224833.0,Coastal,272.7,Substantial
19447,Hyde,14,4595.0,Coastal,7.5,Error
19463,Nash,14,96101.0,Coastal,175.7,Moderate
19473,Pitt,14,173536.0,Coastal,261.0,Substantial
19416,Caswell,14,22400.0,Eastern,53.5,Low
19470,Pender,14,62250.0,Coastal,69.1,Moderate
19480,Rutherford,14,63870.0,Western,114.0,Moderate
19429,Davie,14,43127.0,Northern,162.0,Substantial
19474,Polk,14,19461.0,Western,81.3,Moderate
19444,Henderson,14,117429.0,Western,311.8,Moderate
19456,Madison,14,21146.0,Western,47.1,Moderate
19414,Camden,14,10537.0,Coastal,43.1,Low
19428,Davidson,14,171752.0,Northern,305.4,Moderate
19422,Cleveland,14,99332.0,Western,214.4,Substantial
19418,Chatham,14,77095.0,Eastern,111.9,Moderate
19464,New Hanover,14,230423.0,Coastal,1174.0,Moderate
19436,Gates,14,10324.0,Coastal,30.8,Low
19492,Warren,14,18621.0,Eastern,43.4,Low
19437,Graham,14,7935.0,Western,27.5,High
19484,Stokes,14,44422.0,Northern,99.1,Substantial
19497,Wilson,14,79078.0,Coastal,214.3,Moderate
19433,Forsyth,14,387703.0,Northern,938.1,Moderate
19405,Avery,14,17347.0,Western,72.0,Moderate
19407,Bertie,14,17302.0,Coastal,25.7,Low
19487,Transylvania,14,32825.0,Western,87.2,Moderate
19404,Ashe,14,26506.0,Northern,62.3,Moderate
19498,Yadkin,14,36925.0,Northern,111.1,Moderate
19491,Wake,14,1154170.0,Eastern,1353.3,Moderate
19488,Tyrrell,14,3315.0,Coastal,8.3,Moderate
19434,Franklin,14,70655.0,Eastern,139.4,Low
19495,Wayne,14,115895.0,Coastal,211.8,Substantial
19485,Surry,14,70573.0,Northern,134.0,Substantial
19442,Harnett,14,134986.0,Eastern,224.5,Substantial
19439,Greene,14,19978.0,Coastal,76.7,Moderate
19440,Guilford,14,545484.0,Northern,838.0,Moderate
19490,Vance,14,41665.0,Eastern,168.7,Low
19406,Beaufort,14,44150.0,Coastal,53.6,Moderate
19489,Union,14,244960.0,Central,376.6,Substantial
19496,Wilkes,14,65151.0,Northern,87.5,Moderate
19402,Alleghany,14,11057.0,Northern,46.4,Moderate
19401,Alexander,14,36172.0,Northern,140.2,Moderate
19403,Anson,14,22028.0,Central,41.5,Substantial
19486,Swain,14,14046.0,Western,26.8,Moderate
19408,Bladen,14,29171.0,Coastal,33.8,Substantial
19494,Watauga,14,54804.0,Northern,173.1,Low
19438,Granville,14,60720.0,Eastern,114.6,Moderate
19432,Edgecombe,14,48604.0,Coastal,96.7,Moderate
19441,Halifax,14,47859.0,Coastal,67.2,Moderate
19493,Washington,14,10708.0,Coastal,31.8,Low
19574,Polk,15,19461.0,Western,81.3,Substantial
19580,Rutherford,15,63870.0,Western,114.0,Moderate
19586,Swain,15,14046.0,Western,26.8,Moderate
19511,Burke,15,88398.0,Western,173.0,Moderate
19520,Chowan,15,13646.0,Coastal,79.4,High
19581,Sampson,15,58371.0,Coastal,62.4,Moderate
19582,Scotland,15,33662.0,Eastern,107.1,Substantial
19585,Surry,15,70573.0,Northern,134.0,Substantial
19538,Granville,15,60720.0,Eastern,114.6,Moderate
19596,Wilkes,15,65151.0,Northern,87.5,Moderate
19559,Mecklenburg,15,1128426.0,Central,2130.4,Substantial
19575,Randolph,15,143325.0,Northern,184.3,Moderate
19593,Washington,15,10708.0,Coastal,31.8,Low
19550,Johnston,15,224833.0,Coastal,272.7,Substantial
19540,Guilford,15,545484.0,Northern,838.0,Moderate
19522,Cleveland,15,99332.0,Western,214.4,Substantial
19560,Mitchell,15,14783.0,Western,67.4,Error
19531,Durham,15,331347.0,Eastern,1133.7,Moderate
19534,Franklin,15,70655.0,Eastern,139.4,Low
19554,Lincoln,15,88742.0,Central,293.4,Substantial
19589,Union,15,244960.0,Central,376.6,Substantial
19525,Cumberland,15,341793.0,Eastern,512.9,High
19514,Camden,15,10537.0,Coastal,43.1,Low
19544,Henderson,15,117429.0,Western,311.8,Moderate
19519,Cherokee,15,28738.0,Western,63.2,Substantial
19573,Pitt,15,173536.0,Coastal,261.0,Substantial
19529,Davie,15,43127.0,Northern,162.0,Moderate
19527,Dare,15,37817.0,Coastal,96.3,High
19537,Graham,15,7935.0,Western,27.5,High
19524,Craven,15,102568.0,Coastal,142.5,Moderate
19506,Beaufort,15,44150.0,Coastal,53.6,Moderate
19546,Hoke,15,53783.0,Eastern,133.5,Substantial
19599,Yancey,15,18320.0,Western,59.1,Moderate
19543,Haywood,15,62831.0,Western,112.2,Moderate
19512,Cabarrus,15,232873.0,Central,625.1,Substantial
19523,Columbus,15,49795.0,Coastal,54.0,Substantial
19530,Duplin,15,48249.0,Coastal,59.8,High
19532,Edgecombe,15,48604.0,Coastal,96.7,Moderate
19502,Alleghany,15,11057.0,Northern,46.4,Moderate
19556,Madison,15,21146.0,Western,47.1,Substantial
19507,Bertie,15,17302.0,Coastal,25.7,Moderate
19541,Halifax,15,47859.0,Coastal,67.2,Moderate
19578,Rockingham,15,90457.0,Northern,161.0,Substantial
19565,Northampton,15,16953.0,Eastern,32.6,Moderate
19579,Rowan,15,148565.0,Northern,287.1,Substantial
19587,Transylvania,15,32825.0,Western,87.2,Moderate
19500,Alamance,15,175029.0,Northern,404.8,Moderate
19577,Robeson,15,115899.0,Coastal,123.0,High
19597,Wilson,15,79078.0,Coastal,214.3,Moderate
19563,Nash,15,96101.0,Coastal,175.7,Moderate
19545,Hertford,15,20374.0,Coastal,61.0,Low
19508,Bladen,15,29171.0,Coastal,33.8,High
19566,Onslow,15,207928.0,Coastal,268.4,Substantial
19568,Pamlico,15,12215.0,Coastal,36.5,Low
19513,Caldwell,15,81319.0,Northern,170.9,Moderate
19588,Tyrrell,15,3315.0,Coastal,8.3,Moderate
19557,Martin,15,21503.0,Coastal,48.3,Moderate
19553,Lenoir,15,54323.0,Coastal,138.1,Moderate
19598,Yadkin,15,36925.0,Northern,111.1,Moderate
19558,McDowell,15,44151.0,Western,101.3,Moderate
19504,Ashe,15,26506.0,Northern,62.3,Moderate
19515,Carteret,15,69039.0,Coastal,133.3,Substantial
19501,Alexander,15,36172.0,Northern,140.2,Moderate
19576,Richmond,15,43006.0,Eastern,90.7,High
19594,Watauga,15,54804.0,Northern,173.1,Low
19510,Buncombe,15,271638.0,Western,410.4,Moderate
19547,Hyde,15,4595.0,Coastal,7.5,Low
19542,Harnett,15,134986.0,Eastern,224.5,Substantial
19555,Macon,15,37041.0,Western,71.8,Moderate
19505,Avery,15,17347.0,Western,72.0,Low
19571,Perquimans,15,13049.0,Coastal,52.6,Low
19595,Wayne,15,115895.0,Coastal,211.8,Substantial
19561,Montgomery,15,25485.0,Eastern,52.4,Moderate
19517,Catawba,15,162841.0,Northern,400.2,Substantial
19590,Vance,15,41665.0,Eastern,168.7,Low
19564,New Hanover,15,230423.0,Coastal,1174.0,Moderate
19509,Brunswick,15,144821.0,Coastal,160.8,Substantial
19503,Anson,15,22028.0,Central,41.5,Substantial
19583,Stanly,15,62143.0,Central,158.2,Moderate
19562,Moore,15,102966.0,Eastern,142.9,Moderate
19569,Pasquotank,15,40966.0,Coastal,178.8,Moderate
19528,Davidson,15,171752.0,Northern,305.4,Moderate
19552,Lee,15,64360.0,Eastern,248.1,Moderate
19567,Orange,15,148331.0,Eastern,374.0,Moderate
19548,Iredell,15,192986.0,Northern,325.0,Moderate
19533,Forsyth,15,387703.0,Northern,938.1,Moderate
19518,Chatham,15,77095.0,Eastern,111.9,Moderate
19551,Jones,15,9076.0,Coastal,19.5,Substantial
19526,Currituck,15,29385.0,Coastal,107.3,Moderate
19536,Gates,15,10324.0,Coastal,30.8,Moderate
19516,Caswell,15,22400.0,Eastern,53.5,Moderate
19570,Pender,15,62250.0,Coastal,69.1,Substantial
19584,Stokes,15,44422.0,Northern,99.1,Substantial
19591,Wake,15,1154170.0,Eastern,1353.3,Moderate
19535,Gaston,15,233387.0,Central,640.7,Moderate
19549,Jackson,15,41919.0,Western,87.8,Moderate
19521,Clay,15,11238.0,Western,51.6,Substantial
19592,Warren,15,18621.0,Eastern,43.4,Low
19572,Person,15,39048.0,Eastern,99.7,Substantial
19539,Greene,15,19978.0,Coastal,76.7,Moderate
19610,Buncombe,16,271638.0,Western,410.4,Moderate
19658,McDowell,16,44151.0,Western,101.3,Moderate
19670,Pender,16,62250.0,Coastal,69.1,Substantial
19680,Rutherford,16,63870.0,Western,114.0,Substantial
19665,Northampton,16,16953.0,Eastern,32.6,Moderate
19604,Ashe,16,26506.0,Northern,62.3,Moderate
19603,Anson,16,22028.0,Central,41.5,Moderate
19667,Orange,16,148331.0,Eastern,374.0,Moderate
19688,Tyrrell,16,3315.0,Coastal,8.3,Moderate
19679,Rowan,16,148565.0,Northern,287.1,Substantial
19613,Caldwell,16,81319.0,Northern,170.9,Moderate
19616,Caswell,16,22400.0,Eastern,53.5,Moderate
19666,Onslow,16,207928.0,Coastal,268.4,Substantial
19621,Clay,16,11238.0,Western,51.6,Substantial
19676,Richmond,16,43006.0,Eastern,90.7,High
19605,Avery,16,17347.0,Western,72.0,Low
19655,Macon,16,37041.0,Western,71.8,Moderate
19681,Sampson,16,58371.0,Coastal,62.4,Substantial
19623,Columbus,16,49795.0,Coastal,54.0,Substantial
19649,Jackson,16,41919.0,Western,87.8,Moderate
19691,Wake,16,1154170.0,Eastern,1353.3,Moderate
19608,Bladen,16,29171.0,Coastal,33.8,High
19602,Alleghany,16,11057.0,Northern,46.4,Moderate
19656,Madison,16,21146.0,Western,47.1,Substantial
19633,Forsyth,16,387703.0,Northern,938.1,Moderate
19607,Bertie,16,17302.0,Coastal,25.7,Low
19684,Stokes,16,44422.0,Northern,99.1,Substantial
19638,Granville,16,60720.0,Eastern,114.6,Moderate
19698,Yadkin,16,36925.0,Northern,111.1,Substantial
19669,Pasquotank,16,40966.0,Coastal,178.8,Moderate
19632,Edgecombe,16,48604.0,Coastal,96.7,Moderate
19685,Surry,16,70573.0,Northern,134.0,Substantial
19677,Robeson,16,115899.0,Coastal,123.0,High
19609,Brunswick,16,144821.0,Coastal,160.8,Substantial
19687,Transylvania,16,32825.0,Western,87.2,Moderate
19643,Haywood,16,62831.0,Western,112.2,Substantial
19697,Wilson,16,79078.0,Coastal,214.3,Moderate
19617,Catawba,16,162841.0,Northern,400.2,Substantial
19663,Nash,16,96101.0,Coastal,175.7,Moderate
19601,Alexander,16,36172.0,Northern,140.2,Moderate
19645,Hertford,16,20374.0,Coastal,61.0,Moderate
19628,Davidson,16,171752.0,Northern,305.4,Moderate
19694,Watauga,16,54804.0,Northern,173.1,Moderate
19600,Alamance,16,175029.0,Northern,404.8,Moderate
19678,Rockingham,16,90457.0,Northern,161.0,Substantial
19653,Lenoir,16,54323.0,Coastal,138.1,Moderate
19664,New Hanover,16,230423.0,Coastal,1174.0,Moderate
19637,Graham,16,7935.0,Western,27.5,High
19614,Camden,16,10537.0,Coastal,43.1,Low
19622,Cleveland,16,99332.0,Western,214.4,Substantial
19639,Greene,16,19978.0,Coastal,76.7,Moderate
19640,Guilford,16,545484.0,Northern,838.0,Moderate
19619,Cherokee,16,28738.0,Western,63.2,Substantial
19668,Pamlico,16,12215.0,Coastal,36.5,Moderate
19629,Davie,16,43127.0,Northern,162.0,Substantial
19690,Vance,16,41665.0,Eastern,168.7,Moderate
19641,Halifax,16,47859.0,Coastal,67.2,Moderate
19673,Pitt,16,173536.0,Coastal,261.0,Substantial
19606,Beaufort,16,44150.0,Coastal,53.6,Moderate
19683,Stanly,16,62143.0,Central,158.2,Moderate
19652,Lee,16,64360.0,Eastern,248.1,Substantial
19689,Union,16,244960.0,Central,376.6,Substantial
19644,Henderson,16,117429.0,Western,311.8,Moderate
